AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
0.03148048580887744,-0.28785891563442967,-0.42590672103037436,-0.39418691786157767,0.0,0.10388325502946415,-0.04553324097949351,-0.3157578187444977,0.357181719287934,-0.6998666920254916,-0.19911189005633553,-0.18982454979742755,-0.1944560980813126,0.4085001004824494
-0.11018544711317446,-0.275496546204091,-0.48016469047585714,-0.38336625198580443,-0.45388002054761695,-0.6234974029015709,-0.3635734072022161,-0.21050521246894727,-3.2140914036718047,-0.29994286799977654,-0.2575215497272187,-0.25434372740608985,-0.3421497326957663,0.1157419112272453
-0.23217326631502966,-0.2949212050282466,-0.46117465946723674,-0.3590261915744795,-0.31213029739980647,-0.4157308928831849,0.5908933518182904,0.5264635124709084,-1.3569096844396082,1.400114263922408,-0.22035237910593658,-0.3585553828195958,-0.3249184961576575,-0.03745697115714317
-0.38169995372790094,-0.45915642634550846,-0.5412003858971836,-0.4874939162732545,-0.9361748102822404,-0.5196141478721067,-0.27268005538392565,0.2632317562354542,0.2859085962724577,1.8002285278838355,-0.25575544114723503,-0.5521034650585341,-0.4258402923116161,-0.21447324918775845
-0.5154976385887852,-0.5333306429358091,-0.6402161433357507,-0.49696006757096245,-0.9078680820095502,0.051842691111796756,-0.7728531855955678,0.3684843625110046,-0.9284548422476728,0.250047609993683,-0.3265480834863383,-0.7729543016709327,-0.6646119807723658,-0.6774538594687184
-0.5823927342340531,-0.3708576309703301,-0.5859633398383561,-0.1913444973486521,-0.31213029739980647,0.6753400940133676,-0.5,0.631716118705382,-0.6428182807120659,-0.45000952196752103,-0.3194701674256724,-0.8498726532999634,-0.6966088307758102,-0.9702120487239224
-0.5745244861759562,-0.24724066264374894,-0.5140739841484863,0.0020317718644550444,0.08502822568811375,0.5714568389839034,-0.13642659279778394,0.21050521255110083,0.9287268770402611,0.3500285660196214,-0.3495546811145418,-0.8176177897910929,-0.5710776788450118,-0.9157445043000472
-0.5095927057592706,-0.21191576370175955,-0.5357761387374851,0.08587261897631351,0.17016449233481698,0.8312639129604991,0.3637465374138583,0.42121090619535795,0.6428182807120659,-0.45000952196752103,-0.4274319803832955,-0.8101707249080712,-0.6203057653865649,-0.8442534212374609
-0.39350981938692997,-0.07416749059971406,-0.5317053703928734,0.34144840355184314,-0.8510385436355371,-0.20796438286479893,-0.9091066481817096,0.5789895749799518,-0.6428182807120659,-0.19996191197383809,-0.41327614826472603,-0.7679832913575526,-0.6350713788519003,-0.8000025930754583
-0.3325121630008282,0.026493674207181097,-0.48151816929200225,0.39824531134442215,-0.3404370256282235,-0.4157308928831849,-0.5,0.7896952686652858,-1.0,1.1001713959226316,-0.41681510629505897,-0.7952860457310128,-0.6104620230769815,-0.83404967035288
