AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4170.0,4165.5126953125,4163.58984375,4146.2822265625,4162.5639648438,4162.9487304688,4162.1796875,4161.2822265625,4167.6923828125,4168.0771484375,4179.8715820312,4169.7436523438,4173.205078125,4172.3076171875
4173.3334960938,4168.4614257812,4163.4614257812,4156.1538085938,4160.2563476562,4164.1025390625,4160.384765625,4164.4873046875,4167.6923828125,4168.0771484375,4176.41015625,4168.8461914062,4177.1796875,4168.0771484375
4186.5385742188,4180.0,4169.8715820312,4166.9228515625,4159.3588867188,4164.615234375,4162.0512695312,4163.58984375,4168.8461914062,4168.0771484375,4191.9228515625,4178.9741210938,4188.3334960938,4176.1538085938
4188.0771484375,4189.4873046875,4170.384765625,4169.3588867188,4160.5126953125,4161.5385742188,4164.4873046875,4161.41015625,4168.7177734375,4168.0771484375,4193.205078125,4179.1025390625,4186.794921875,4178.8461914062
4180.0,4186.0258789062,4164.1025390625,4166.9228515625,4161.1538085938,4161.1538085938,4163.9741210938,4162.3076171875,4168.4614257812,4168.0771484375,4176.2822265625,4165.6411132812,4172.1796875,4167.4360351562
4183.3334960938,4186.1538085938,4167.6923828125,4171.5385742188,4161.794921875,4163.8461914062,4160.5126953125,4163.3334960938,4169.1025390625,4168.0771484375,4175.0,4166.41015625,4167.5639648438,4166.9228515625
4190.384765625,4193.0771484375,4174.2309570312,4175.2563476562,4162.5639648438,4162.0512695312,4159.615234375,4161.9228515625,4168.3334960938,4168.0771484375,4179.8715820312,4172.8203125,4174.615234375,4172.0512695312
4185.2563476562,4187.8203125,4166.9228515625,4167.1796875,4162.1796875,4159.8715820312,4158.58984375,4160.7690429688,4166.2822265625,4168.0771484375,4172.9487304688,4163.9741210938,4172.5639648438,4160.8974609375
4181.2822265625,4185.0,4165.2563476562,4164.7436523438,4161.41015625,4162.9487304688,4159.3588867188,4163.205078125,4166.794921875,4168.0771484375,4170.5126953125,4160.384765625,4164.1025390625,4156.0258789062
4187.4360351562,4196.9228515625,4175.0,4173.7177734375,4161.9228515625,4164.4873046875,4161.9228515625,4165.8974609375,4167.8203125,4168.0771484375,4177.0512695312,4171.0258789062,4166.794921875,4166.1538085938
