AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4163.58984375,4153.205078125,4154.3588867188,4149.2309570312,4166.1538085938,4163.8461914062,4158.7177734375,4165.0,4161.6665039062,4170.5126953125,4180.8974609375,4285.8974609375,4169.4873046875,4147.4360351562
4166.41015625,4146.41015625,4145.6411132812,4142.8203125,4165.0,4160.384765625,4158.205078125,4164.1025390625,4162.8203125,4170.384765625,4173.3334960938,4283.7177734375,4164.615234375,4145.6411132812
4171.41015625,4151.1538085938,4146.2822265625,4150.2563476562,4162.0512695312,4158.4614257812,4157.6923828125,4162.0512695312,4163.205078125,4169.7436523438,4175.1284179688,4288.3334960938,4165.1284179688,4142.6923828125
4178.9741210938,4162.5639648438,4164.615234375,4160.5126953125,4161.6665039062,4160.2563476562,4162.0512695312,4164.4873046875,4161.9228515625,4169.3588867188,4188.9741210938,4309.1025390625,4178.8461914062,4154.4873046875
4176.794921875,4155.5126953125,4161.41015625,4155.6411132812,4162.0512695312,4159.4873046875,4160.6411132812,4162.4360351562,4162.5639648438,4169.4873046875,4191.0258789062,4312.3076171875,4184.7436523438,4160.6411132812
4180.5126953125,4149.615234375,4153.8461914062,4153.0771484375,4163.9741210938,4160.1284179688,4157.3076171875,4162.1796875,4164.615234375,4168.8461914062,4188.0771484375,4310.0,4186.2822265625,4158.9741210938
4203.8461914062,4162.8203125,4170.8974609375,4165.1284179688,4163.7177734375,4161.794921875,4159.1025390625,4165.6411132812,4165.6411132812,4167.9487304688,4201.1538085938,4334.4873046875,4203.9741210938,4167.6923828125
4210.8974609375,4173.7177734375,4182.0512695312,4172.8203125,4159.2309570312,4159.2309570312,4160.1284179688,4164.1025390625,4165.2563476562,4169.3588867188,4217.1796875,4359.2309570312,4219.3588867188,4177.1796875
4197.6923828125,4169.4873046875,4171.2822265625,4165.7690429688,4160.6411132812,4159.8715820312,4161.794921875,4162.6923828125,4165.8974609375,4168.9741210938,4213.4614257812,4350.8974609375,4212.0512695312,4175.6411132812
4198.8461914062,4167.1796875,4168.0771484375,4165.5126953125,4162.9487304688,4163.7177734375,4161.2822265625,4161.1538085938,4165.6411132812,4168.58984375,4204.4873046875,4339.8715820312,4201.6665039062,4169.8715820312
4203.4614257812,4168.9741210938,4177.9487304688,4174.1025390625,4163.0771484375,4163.8461914062,4161.5385742188,4160.0,4166.9228515625,4173.4614257812,4203.9741210938,4341.6665039062,4196.5385742188,4169.7436523438
