AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4138.58984375,4136.41015625,4176.41015625,4146.6665039062,4166.1538085938,4165.6411132812,4162.1796875,4164.2309570312,4165.1284179688,4164.4873046875,4135.1284179688,4200.2563476562,4172.1796875,4141.0258789062
4136.6665039062,4134.615234375,4177.3076171875,4144.2309570312,4161.9228515625,4165.384765625,4167.5639648438,4162.5639648438,4166.5385742188,4164.3588867188,4132.0512695312,4191.41015625,4166.1538085938,4137.5639648438
4139.4873046875,4133.4614257812,4183.7177734375,4148.205078125,4163.7177734375,4164.8715820312,4171.0258789062,4165.6411132812,4167.9487304688,4164.615234375,4135.384765625,4194.8715820312,4168.9741210938,4145.384765625
4137.8203125,4134.3588867188,4175.8974609375,4147.4360351562,4162.5639648438,4163.0771484375,4161.6665039062,4163.8461914062,4164.3588867188,4162.6923828125,4140.1284179688,4201.5385742188,4173.3334960938,4150.5126953125
4142.9487304688,4142.4360351562,4175.2563476562,4151.5385742188,4162.5639648438,4163.0771484375,4163.205078125,4162.5639648438,4161.9228515625,4160.8974609375,4147.6923828125,4204.2309570312,4179.2309570312,4161.6665039062
4161.6665039062,4151.794921875,4188.58984375,4170.6411132812,4164.3588867188,4160.8974609375,4167.9487304688,4165.384765625,4163.9741210938,4165.8974609375,4160.2563476562,4210.6411132812,4192.5639648438,4187.3076171875
4171.6665039062,4158.205078125,4194.7436523438,4182.5639648438,4163.7177734375,4159.1025390625,4160.2563476562,4164.615234375,4164.615234375,4169.4873046875,4168.3334960938,4219.2309570312,4202.3076171875,4209.4873046875
4163.0771484375,4158.7177734375,4191.9228515625,4172.8203125,4164.7436523438,4163.205078125,4160.0,4162.8203125,4162.4360351562,4163.8461914062,4170.384765625,4224.3588867188,4203.58984375,4222.5639648438
4160.6411132812,4155.7690429688,4185.5126953125,4169.7436523438,4160.5126953125,4161.5385742188,4161.0258789062,4161.41015625,4162.9487304688,4162.1796875,4178.4614257812,4230.1284179688,4207.8203125,4236.794921875
4169.4873046875,4158.3334960938,4190.1284179688,4183.9741210938,4161.0258789062,4162.1796875,4161.6665039062,4162.3076171875,4165.2563476562,4165.8974609375,4187.4360351562,4231.1538085938,4207.5639648438,4247.0512695312
4163.9741210938,4157.8203125,4189.7436523438,4177.1796875,4165.0,4165.6411132812,4163.7177734375,4162.5639648438,4163.8461914062,4163.58984375,4180.1284179688,4221.9228515625,4195.6411132812,4243.9741210938
4146.5385742188,4143.9741210938,4175.7690429688,4153.4614257812,4160.1284179688,4160.7690429688,4161.0258789062,4160.384765625,4160.5126953125,4161.5385742188,4170.2563476562,4211.0258789062,4186.0258789062,4237.4360351562
4136.9228515625,4126.794921875,4169.2309570312,4141.794921875,4160.8974609375,4161.2822265625,4161.6665039062,4161.794921875,4162.9487304688,4165.5126953125,4167.0512695312,4199.1025390625,4180.8974609375,4232.0512695312
4128.0771484375,4119.8715820312,4160.0,4134.1025390625,4163.58984375,4164.2309570312,4161.0258789062,4161.9228515625,4166.41015625,4165.5126953125,4156.0258789062,4182.6923828125,4168.8461914062,4219.615234375
4117.0512695312,4114.615234375,4156.2822265625,4124.2309570312,4160.5126953125,4162.3076171875,4160.7690429688,4164.4873046875,4164.2309570312,4163.4614257812,4148.4614257812,4173.7177734375,4160.0,4211.5385742188
4117.4360351562,4107.4360351562,4160.384765625,4120.0,4159.615234375,4160.1284179688,4163.205078125,4168.3334960938,4162.4360351562,4167.6923828125,4153.7177734375,4174.3588867188,4160.7690429688,4216.794921875
4120.6411132812,4105.2563476562,4153.9741210938,4122.3076171875,4159.7436523438,4159.2309570312,4158.58984375,4163.58984375,4163.7177734375,4169.1025390625,4154.2309570312,4172.0512695312,4159.1025390625,4217.0512695312
4119.2309570312,4105.384765625,4152.3076171875,4120.384765625,4161.41015625,4162.5639648438,4159.2309570312,4161.5385742188,4162.5639648438,4165.7690429688,4150.7690429688,4171.0258789062,4161.794921875,4212.9487304688
4121.0258789062,4108.58984375,4155.5126953125,4118.4614257812,4160.384765625,4162.4360351562,4162.4360351562,4164.615234375,4162.0512695312,4165.0,4152.6923828125,4173.7177734375,4166.794921875,4217.6923828125
4130.7690429688,4121.41015625,4165.2563476562,4137.8203125,4159.8715820312,4160.384765625,4161.5385742188,4165.5126953125,4167.8203125,4164.615234375,4159.2309570312,4179.7436523438,4168.8461914062,4224.4873046875
4147.4360351562,4143.7177734375,4182.3076171875,4169.8715820312,4163.205078125,4161.5385742188,4160.0,4163.7177734375,4168.205078125,4163.7177734375,4169.3588867188,4200.2563476562,4179.615234375,4230.8974609375
4164.4873046875,4166.2822265625,4191.794921875,4199.8715820312,4161.41015625,4160.8974609375,4155.5126953125,4161.6665039062,4164.4873046875,4164.615234375,4171.9228515625,4223.205078125,4191.2822265625,4242.0512695312
4171.41015625,4176.6665039062,4199.7436523438,4220.1284179688,4162.0512695312,4163.7177734375,4160.6411132812,4165.2563476562,4168.0771484375,4165.6411132812,4162.4360351562,4228.8461914062,4187.0512695312,4247.9487304688
4170.8974609375,4173.8461914062,4206.41015625,4223.4614257812,4163.4614257812,4164.3588867188,4164.2309570312,4166.5385742188,4170.0,4164.4873046875,4157.9487304688,4229.3588867188,4180.5126953125,4243.3334960938
4172.3076171875,4169.7436523438,4207.3076171875,4216.794921875,4160.8974609375,4162.8203125,4160.0,4163.3334960938,4165.5126953125,4163.58984375,4161.1538085938,4233.9741210938,4182.4360351562,4238.7177734375
4168.8461914062,4171.5385742188,4205.8974609375,4207.9487304688,4162.1796875,4165.8974609375,4162.3076171875,4162.5639648438,4162.6923828125,4164.1025390625,4155.7690429688,4227.3076171875,4178.58984375,4235.7690429688
4161.1538085938,4171.5385742188,4197.8203125,4203.0771484375,4162.6923828125,4164.1025390625,4162.1796875,4161.41015625,4165.1284179688,4165.5126953125,4150.8974609375,4220.2563476562,4176.6665039062,4232.6923828125
4156.2822265625,4161.5385742188,4194.3588867188,4199.8715820312,4162.9487304688,4162.3076171875,4161.2822265625,4162.5639648438,4168.9741210938,4167.0512695312,4153.58984375,4220.7690429688,4180.384765625,4226.1538085938
4156.9228515625,4157.5639648438,4197.3076171875,4202.1796875,4162.1796875,4164.2309570312,4160.1284179688,4166.0258789062,4168.58984375,4166.2822265625,4155.1284179688,4217.6923828125,4179.1025390625,4218.4614257812
4170.7690429688,4172.9487304688,4199.1025390625,4206.6665039062,4160.5126953125,4162.4360351562,4158.8461914062,4165.5126953125,4162.4360351562,4164.3588867188,4159.4873046875,4219.1025390625,4182.1796875,4223.8461914062
4183.8461914062,4186.2822265625,4203.4614257812,4208.58984375,4165.1284179688,4161.1538085938,4164.4873046875,4166.1538085938,4162.5639648438,4165.0,4163.8461914062,4226.5385742188,4189.1025390625,4232.8203125
4177.9487304688,4178.205078125,4200.2563476562,4206.6665039062,4165.0,4160.6411132812,4159.7436523438,4166.6665039062,4166.2822265625,4164.1025390625,4161.2822265625,4225.5126953125,4186.5385742188,4225.7690429688
4169.4873046875,4168.7177734375,4197.5639648438,4198.9741210938,4161.9228515625,4162.5639648438,4156.41015625,4165.0,4164.7436523438,4162.5639648438,4160.5126953125,4221.0258789062,4181.2822265625,4220.7690429688
4178.9741210938,4177.5639648438,4202.3076171875,4203.7177734375,4161.5385742188,4162.4360351562,4162.9487304688,4162.6923828125,4164.3588867188,4168.3334960938,4173.0771484375,4227.3076171875,4187.8203125,4232.8203125
4188.7177734375,4186.9228515625,4202.6923828125,4212.6923828125,4161.6665039062,4158.7177734375,4160.2563476562,4161.794921875,4164.7436523438,4171.9228515625,4179.1025390625,4235.2563476562,4194.4873046875,4236.6665039062
4186.6665039062,4185.1284179688,4203.205078125,4208.3334960938,4166.794921875,4162.8203125,4161.2822265625,4164.615234375,4163.3334960938,4166.41015625,4170.2563476562,4234.1025390625,4191.2822265625,4231.1538085938
4186.2822265625,4186.1538085938,4202.4360351562,4208.3334960938,4164.615234375,4164.2309570312,4164.1025390625,4161.794921875,4164.1025390625,4162.6923828125,4174.3588867188,4235.7690429688,4188.0771484375,4234.4873046875
4189.7436523438,4190.8974609375,4206.1538085938,4216.0258789062,4159.1025390625,4161.2822265625,4164.615234375,4157.9487304688,4164.2309570312,4165.2563476562,4182.8203125,4237.9487304688,4189.4873046875,4237.8203125
4186.1538085938,4188.205078125,4207.8203125,4211.6665039062,4163.205078125,4162.3076171875,4163.9741210938,4161.41015625,4160.6411132812,4164.1025390625,4175.6411132812,4229.8715820312,4186.794921875,4230.5126953125
4176.2822265625,4181.6665039062,4198.7177734375,4201.794921875,4164.1025390625,4160.384765625,4157.4360351562,4160.8974609375,4162.1796875,4161.9228515625,4173.8461914062,4226.0258789062,4182.9487304688,4226.9228515625
4173.8461914062,4184.615234375,4200.8974609375,4205.6411132812,4163.4614257812,4161.0258789062,4163.0771484375,4160.7690429688,4170.5126953125,4165.384765625,4183.8461914062,4231.1538085938,4187.9487304688,4231.2822265625
4170.6411132812,4183.0771484375,4200.6411132812,4205.2563476562,4163.7177734375,4160.0,4165.2563476562,4164.2309570312,4168.7177734375,4165.1284179688,4180.5126953125,4223.3334960938,4186.5385742188,4223.58984375
4156.794921875,4166.2822265625,4190.6411132812,4192.1796875,4161.5385742188,4158.205078125,4158.3334960938,4164.7436523438,4161.1538085938,4163.8461914062,4169.615234375,4208.9741210938,4171.794921875,4205.6411132812
4148.58984375,4160.6411132812,4189.615234375,4187.1796875,4163.205078125,4164.7436523438,4162.1796875,4163.9741210938,4164.2309570312,4166.0258789062,4172.8203125,4207.4360351562,4167.0512695312,4198.8461914062
4143.8461914062,4164.615234375,4183.58984375,4189.2309570312,4164.1025390625,4164.2309570312,4160.384765625,4162.0512695312,4167.0512695312,4165.6411132812,4172.1796875,4202.4360351562,4165.8974609375,4194.1025390625
4129.2309570312,4151.1538085938,4172.4360351562,4176.6665039062,4164.7436523438,4161.1538085938,4158.4614257812,4163.4614257812,4164.2309570312,4163.4614257812,4156.5385742188,4179.615234375,4147.8203125,4176.0258789062
4117.6923828125,4137.4360351562,4169.3588867188,4163.7177734375,4163.0771484375,4161.9228515625,4163.58984375,4164.615234375,4162.8203125,4164.4873046875,4143.205078125,4166.6665039062,4131.794921875,4159.1025390625
4123.3334960938,4142.8203125,4173.0771484375,4169.7436523438,4160.2563476562,4161.5385742188,4162.5639648438,4163.9741210938,4162.8203125,4165.384765625,4144.615234375,4171.1538085938,4134.7436523438,4162.8203125
4134.615234375,4152.6923828125,4175.1284179688,4177.6923828125,4166.0258789062,4162.5639648438,4160.7690429688,4167.1796875,4163.9741210938,4163.7177734375,4152.6923828125,4176.41015625,4141.1538085938,4178.0771484375
4143.8461914062,4154.1025390625,4170.6411132812,4172.0512695312,4164.615234375,4160.6411132812,4158.58984375,4163.4614257812,4164.7436523438,4163.3334960938,4154.2309570312,4177.8203125,4145.384765625,4185.2563476562
4150.5126953125,4155.8974609375,4175.1284179688,4167.8203125,4161.0258789062,4162.5639648438,4161.1538085938,4160.0,4163.205078125,4164.615234375,4150.5126953125,4179.2309570312,4148.7177734375,4188.205078125
4156.41015625,4163.3334960938,4183.8461914062,4179.8715820312,4164.2309570312,4166.6665039062,4164.7436523438,4165.1284179688,4164.2309570312,4165.0,4155.2563476562,4186.2822265625,4151.1538085938,4197.3076171875
4160.6411132812,4167.0512695312,4182.9487304688,4185.5126953125,4162.1796875,4163.3334960938,4161.2822265625,4166.794921875,4166.5385742188,4164.4873046875,4164.3588867188,4194.2309570312,4153.9741210938,4201.5385742188
4159.1025390625,4160.384765625,4181.9228515625,4173.0771484375,4161.2822265625,4163.0771484375,4162.6923828125,4164.1025390625,4163.8461914062,4165.384765625,4161.41015625,4194.8715820312,4150.5126953125,4198.9741210938
4156.1538085938,4155.6411132812,4177.6923828125,4171.9228515625,4161.0258789062,4162.5639648438,4163.205078125,4160.5126953125,4161.5385742188,4165.384765625,4156.2822265625,4192.6923828125,4148.205078125,4200.5126953125
4155.6411132812,4156.794921875,4179.4873046875,4180.7690429688,4160.5126953125,4161.2822265625,4162.9487304688,4159.2309570312,4165.0,4165.0,4166.41015625,4197.5639648438,4153.8461914062,4200.5126953125
4150.6411132812,4153.7177734375,4182.1796875,4174.4873046875,4162.4360351562,4165.5126953125,4164.7436523438,4162.1796875,4165.0,4166.2822265625,4174.4873046875,4199.7436523438,4158.4614257812,4193.3334960938
4144.7436523438,4148.9741210938,4172.3076171875,4168.0771484375,4161.5385742188,4165.7690429688,4160.1284179688,4162.9487304688,4162.1796875,4165.7690429688,4170.6411132812,4194.3588867188,4160.6411132812,4188.58984375
4142.4360351562,4146.9228515625,4171.5385742188,4170.8974609375,4162.9487304688,4163.4614257812,4161.2822265625,4161.0258789062,4165.1284179688,4165.1284179688,4170.5126953125,4189.615234375,4163.9741210938,4184.1025390625
4143.8461914062,4153.0771484375,4176.5385742188,4175.1284179688,4162.8203125,4161.9228515625,4163.4614257812,4158.9741210938,4166.41015625,4163.9741210938,4177.1796875,4193.58984375,4165.7690429688,4182.3076171875
4153.7177734375,4164.7436523438,4182.3076171875,4183.205078125,4160.6411132812,4163.205078125,4158.58984375,4160.2563476562,4162.5639648438,4163.4614257812,4185.1284179688,4204.8715820312,4168.8461914062,4192.6923828125
4162.0512695312,4167.5639648438,4190.6411132812,4185.384765625,4162.6923828125,4164.7436523438,4160.7690429688,4162.6923828125,4163.0771484375,4164.7436523438,4189.7436523438,4209.2309570312,4174.7436523438,4199.8715820312
4161.2822265625,4167.1796875,4187.3076171875,4187.0512695312,4162.4360351562,4158.205078125,4161.794921875,4162.4360351562,4165.0,4163.9741210938,4186.6665039062,4207.6923828125,4177.5639648438,4196.2822265625
4164.2309570312,4171.2822265625,4185.6411132812,4197.0512695312,4162.3076171875,4159.615234375,4160.384765625,4163.7177734375,4163.4614257812,4163.0771484375,4185.1284179688,4209.3588867188,4176.6665039062,4197.1796875
4174.2309570312,4176.0258789062,4189.1025390625,4190.7690429688,4163.3334960938,4166.41015625,4160.384765625,4162.4360351562,4163.4614257812,4166.6665039062,4188.205078125,4214.3588867188,4173.4614257812,4200.384765625
4176.41015625,4180.5126953125,4191.0258789062,4178.7177734375,4161.794921875,4163.3334960938,4159.4873046875,4161.2822265625,4163.3334960938,4168.0771484375,4188.58984375,4215.8974609375,4170.2563476562,4198.9741210938
