AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4203.58984375,4192.0512695312,4196.2822265625,4177.8203125,4163.205078125,4161.41015625,4161.1538085938,4162.9487304688,4161.2822265625,4162.3076171875,4173.3334960938,4216.794921875,4183.4614257812,4202.3076171875
4213.7177734375,4198.7177734375,4206.2822265625,4189.2309570312,4162.4360351562,4162.8203125,4162.8203125,4163.3334960938,4164.1025390625,4162.8203125,4188.4614257812,4222.4360351562,4194.4873046875,4212.6923828125
4220.8974609375,4210.1284179688,4215.384765625,4191.794921875,4163.9741210938,4161.0258789062,4167.9487304688,4166.5385742188,4163.9741210938,4162.8203125,4198.3334960938,4229.2309570312,4193.7177734375,4218.4614257812
4214.1025390625,4204.2309570312,4208.8461914062,4181.9228515625,4163.9741210938,4159.7436523438,4163.3334960938,4166.2822265625,4161.5385742188,4163.8461914062,4188.8461914062,4230.7690429688,4183.8461914062,4214.615234375
4202.5639648438,4193.0771484375,4199.2309570312,4180.5126953125,4163.3334960938,4164.1025390625,4162.3076171875,4164.4873046875,4162.8203125,4165.8974609375,4183.0771484375,4221.9228515625,4183.205078125,4205.8974609375
4201.41015625,4197.0512695312,4197.3076171875,4183.58984375,4161.1538085938,4162.1796875,4162.8203125,4161.2822265625,4164.7436523438,4165.2563476562,4186.41015625,4213.9741210938,4186.6665039062,4200.384765625
4202.0512695312,4197.5639648438,4195.2563476562,4175.8974609375,4161.2822265625,4159.2309570312,4161.2822265625,4161.5385742188,4165.2563476562,4164.2309570312,4188.58984375,4214.2309570312,4183.8461914062,4199.3588867188
4195.2563476562,4187.6923828125,4189.4873046875,4170.6411132812,4163.58984375,4162.1796875,4162.3076171875,4163.9741210938,4164.1025390625,4165.384765625,4188.3334960938,4211.0258789062,4178.3334960938,4196.5385742188
4188.205078125,4183.7177734375,4182.9487304688,4176.6665039062,4160.384765625,4161.794921875,4160.1284179688,4160.1284179688,4164.1025390625,4165.5126953125,4185.5126953125,4206.5385742188,4180.0,4190.6411132812
4179.8715820312,4180.1284179688,4179.615234375,4172.0512695312,4161.6665039062,4160.6411132812,4161.41015625,4159.4873046875,4167.0512695312,4163.9741210938,4185.384765625,4207.3076171875,4180.8974609375,4183.3334960938
4174.3588867188,4176.41015625,4179.7436523438,4162.3076171875,4165.384765625,4161.41015625,4162.9487304688,4165.1284179688,4167.0512695312,4163.7177734375,4188.3334960938,4204.1025390625,4179.4873046875,4178.8461914062
4178.3334960938,4181.1538085938,4182.5639648438,4163.205078125,4163.58984375,4161.9228515625,4163.58984375,4166.1538085938,4164.615234375,4164.7436523438,4184.4873046875,4196.5385742188,4179.615234375,4179.2309570312
4175.7690429688,4177.9487304688,4176.794921875,4162.3076171875,4165.0,4163.4614257812,4164.7436523438,4163.4614257812,4163.0771484375,4164.7436523438,4175.8974609375,4187.9487304688,4174.7436523438,4177.3076171875
4167.5639648438,4165.8974609375,4166.5385742188,4156.794921875,4166.0258789062,4162.1796875,4158.0771484375,4162.4360351562,4165.7690429688,4163.58984375,4174.1025390625,4185.384765625,4168.3334960938,4173.0771484375
4171.5385742188,4168.9741210938,4172.6923828125,4160.6411132812,4164.3588867188,4163.9741210938,4157.6923828125,4163.58984375,4169.615234375,4163.3334960938,4173.58984375,4190.0,4166.794921875,4168.8461914062
4178.7177734375,4178.9741210938,4177.4360351562,4168.3334960938,4162.0512695312,4164.3588867188,4163.3334960938,4163.7177734375,4166.2822265625,4163.9741210938,4169.8715820312,4189.8715820312,4166.6665039062,4166.9228515625
4174.1025390625,4176.6665039062,4171.41015625,4163.0771484375,4162.3076171875,4160.6411132812,4162.8203125,4163.9741210938,4160.7690429688,4164.615234375,4173.58984375,4182.6923828125,4164.7436523438,4167.6923828125
4174.1025390625,4176.6665039062,4171.41015625,4163.0771484375,4162.3076171875,4160.6411132812,4162.8203125,4163.9741210938,4160.7690429688,4164.615234375,4173.58984375,4182.6923828125,4164.7436523438,4167.6923828125
4170.2563476562,4170.1284179688,4171.9228515625,4154.615234375,4165.384765625,4162.6923828125,4164.2309570312,4164.2309570312,4162.0512695312,4164.2309570312,4177.0512695312,4179.615234375,4165.1284179688,4169.615234375
4175.5126953125,4168.9741210938,4173.3334960938,4155.8974609375,4163.205078125,4161.9228515625,4163.8461914062,4163.58984375,4164.3588867188,4164.1025390625,4173.4614257812,4182.4360351562,4165.7690429688,4168.3334960938
4174.7436523438,4167.4360351562,4170.0,4154.3588867188,4163.4614257812,4162.1796875,4163.9741210938,4165.7690429688,4163.3334960938,4165.5126953125,4171.794921875,4179.8715820312,4164.3588867188,4164.8715820312
4172.0512695312,4165.7690429688,4168.58984375,4148.3334960938,4164.1025390625,4165.384765625,4167.0512695312,4164.615234375,4164.3588867188,4165.384765625,4171.5385742188,4171.1538085938,4162.1796875,4163.205078125
4175.384765625,4170.1284179688,4166.794921875,4149.7436523438,4160.1284179688,4161.2822265625,4164.4873046875,4158.7177734375,4164.4873046875,4163.3334960938,4166.5385742188,4165.5126953125,4157.6923828125,4162.8203125
4171.0258789062,4167.8203125,4162.1796875,4148.9741210938,4162.4360351562,4160.1284179688,4162.6923828125,4159.615234375,4163.4614257812,4161.41015625,4159.4873046875,4165.384765625,4151.9228515625,4159.4873046875
4159.8715820312,4156.2822265625,4157.6923828125,4141.1538085938,4164.3588867188,4163.58984375,4160.1284179688,4161.41015625,4163.58984375,4162.8203125,4156.0258789062,4166.0258789062,4148.3334960938,4152.6923828125
4161.0258789062,4160.384765625,4161.0258789062,4146.9228515625,4163.0771484375,4165.2563476562,4159.1025390625,4161.41015625,4164.7436523438,4165.5126953125,4159.4873046875,4162.4360351562,4148.58984375,4154.3588867188
4173.58984375,4173.7177734375,4167.3076171875,4162.5639648438,4163.7177734375,4163.58984375,4161.9228515625,4164.2309570312,4166.1538085938,4164.615234375,4169.4873046875,4165.7690429688,4152.3076171875,4164.615234375
4179.7436523438,4171.794921875,4167.6923828125,4162.0512695312,4162.5639648438,4161.2822265625,4160.5126953125,4163.0771484375,4165.1284179688,4162.1796875,4177.4360351562,4175.1284179688,4160.1284179688,4168.9741210938
4180.5126953125,4170.2563476562,4171.6665039062,4157.9487304688,4165.5126953125,4162.6923828125,4162.3076171875,4160.8974609375,4163.4614257812,4164.1025390625,4177.8203125,4179.7436523438,4168.58984375,4170.5126953125
4182.9487304688,4180.6411132812,4176.1538085938,4168.4614257812,4167.5639648438,4161.41015625,4161.794921875,4162.3076171875,4162.8203125,4167.0512695312,4178.8461914062,4181.6665039062,4177.0512695312,4176.794921875
4186.0258789062,4184.615234375,4175.0,4171.5385742188,4164.1025390625,4160.5126953125,4160.6411132812,4162.8203125,4164.4873046875,4166.2822265625,4186.41015625,4186.794921875,4183.7177734375,4183.7177734375
4185.0,4177.5639648438,4171.6665039062,4155.384765625,4163.7177734375,4162.9487304688,4165.384765625,4161.6665039062,4165.2563476562,4163.58984375,4187.0512695312,4188.4614257812,4180.8974609375,4183.7177734375
4173.0771484375,4165.8974609375,4162.3076171875,4144.7436523438,4162.0512695312,4160.1284179688,4161.9228515625,4159.7436523438,4164.3588867188,4162.0512695312,4171.9228515625,4181.6665039062,4167.1796875,4172.5639648438
4163.4614257812,4153.0771484375,4155.6411132812,4145.8974609375,4162.5639648438,4160.2563476562,4159.2309570312,4161.41015625,4166.2822265625,4164.3588867188,4162.3076171875,4173.0771484375,4156.5385742188,4163.3334960938
4164.8715820312,4151.794921875,4158.4614257812,4144.7436523438,4165.2563476562,4164.7436523438,4162.1796875,4163.4614257812,4166.6665039062,4165.2563476562,4168.58984375,4172.3076171875,4159.2309570312,4166.5385742188
4171.6665039062,4163.3334960938,4165.1284179688,4148.205078125,4164.3588867188,4165.0,4161.794921875,4161.9228515625,4165.7690429688,4162.5639648438,4177.0512695312,4177.3076171875,4168.205078125,4172.9487304688
4181.1538085938,4173.205078125,4169.7436523438,4157.9487304688,4165.7690429688,4163.9741210938,4162.9487304688,4163.3334960938,4165.8974609375,4164.8715820312,4181.5385742188,4181.41015625,4173.0771484375,4176.794921875
4187.5639648438,4178.58984375,4169.3588867188,4163.205078125,4165.0,4160.8974609375,4161.6665039062,4164.4873046875,4164.3588867188,4167.3076171875,4182.9487304688,4184.7436523438,4171.6665039062,4180.0
