AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4170.8974609375,4164.4873046875,4173.8461914062,4179.2309570312,4160.384765625,4162.1796875,4163.4614257812,4160.6411132812,4162.8203125,4165.7690429688,4167.3076171875,4148.205078125,4166.0258789062,4169.1025390625
4158.9741210938,4158.4614257812,4170.0,4176.0258789062,4163.4614257812,4166.794921875,4166.2822265625,4162.4360351562,4162.4360351562,4165.7690429688,4160.8974609375,4141.794921875,4161.794921875,4162.5639648438
4151.0258789062,4161.5385742188,4161.2822265625,4182.1796875,4161.794921875,4164.3588867188,4162.3076171875,4165.1284179688,4162.5639648438,4163.58984375,4159.4873046875,4135.2563476562,4157.8203125,4157.1796875
4158.4614257812,4168.3334960938,4168.205078125,4188.4614257812,4164.2309570312,4162.0512695312,4162.9487304688,4166.0258789062,4163.3334960938,4162.6923828125,4165.2563476562,4135.7690429688,4157.4360351562,4160.7690429688
4172.8203125,4179.3588867188,4176.5385742188,4196.2822265625,4165.7690429688,4163.8461914062,4166.1538085938,4165.384765625,4164.615234375,4163.4614257812,4172.9487304688,4146.6665039062,4164.3588867188,4170.8974609375
4179.4873046875,4184.1025390625,4177.1796875,4200.5126953125,4160.5126953125,4164.8715820312,4164.3588867188,4164.1025390625,4166.5385742188,4163.7177734375,4175.1284179688,4152.1796875,4167.4360351562,4177.8203125
4176.5385742188,4178.0771484375,4178.3334960938,4200.0,4159.8715820312,4163.7177734375,4162.4360351562,4161.1538085938,4166.0258789062,4159.7436523438,4173.3334960938,4150.5126953125,4161.9228515625,4176.6665039062
4175.8974609375,4176.1538085938,4176.9228515625,4198.0771484375,4164.615234375,4160.8974609375,4160.1284179688,4158.3334960938,4162.4360351562,4160.2563476562,4177.0512695312,4153.3334960938,4163.8461914062,4174.7436523438
4177.5639648438,4177.8203125,4181.9228515625,4195.0,4168.7177734375,4164.7436523438,4163.3334960938,4161.9228515625,4162.8203125,4166.9228515625,4181.9228515625,4155.7690429688,4170.5126953125,4177.1796875
4173.3334960938,4175.0,4183.4614257812,4194.615234375,4165.1284179688,4164.3588867188,4162.8203125,4162.1796875,4164.7436523438,4167.5639648438,4181.794921875,4154.1025390625,4171.41015625,4177.3076171875
4173.3334960938,4179.8715820312,4178.4614257812,4204.2309570312,4162.0512695312,4159.8715820312,4158.9741210938,4160.384765625,4163.3334960938,4164.7436523438,4186.1538085938,4158.8461914062,4176.1538085938,4179.1025390625
4186.6665039062,4187.9487304688,4184.1025390625,4210.384765625,4166.41015625,4163.205078125,4163.205078125,4166.0258789062,4163.205078125,4164.7436523438,4193.4614257812,4169.615234375,4184.4873046875,4185.5126953125
4194.3588867188,4187.6923828125,4186.9228515625,4202.9487304688,4165.2563476562,4163.0771484375,4162.6923828125,4166.9228515625,4164.8715820312,4164.2309570312,4194.3588867188,4172.5639648438,4183.8461914062,4184.8715820312
