Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.0000000000,0,4177.5639648438,4173.8461914062,4171.7949218750,4148.0771484375,4161.0258789062,4161.1538085938,4159.8715820312,4166.2822265625,4160.7690429688,4164.6152343750,4262.1796875000,4175.7690429688,4179.3588867188,4156.0258789062,,,
0.0078125000,0,4175.5126953125,4173.5898437500,4165.7690429688,4150.5126953125,4162.4360351562,4161.1538085938,4158.2050781250,4166.6665039062,4164.3588867188,4167.8203125000,4258.8461914062,4173.0771484375,4188.0771484375,4154.2309570312,,,
0.0156250000,0,4168.7177734375,4165.3847656250,4158.7177734375,4149.6152343750,4162.6923828125,4160.7690429688,4159.8715820312,4161.2822265625,4167.0512695312,4167.5639648438,4256.0258789062,4165.3847656250,4182.0512695312,4142.8203125000,,,
0.0234375000,0,4174.7436523438,4166.0258789062,4166.6665039062,4152.6923828125,4163.8461914062,4161.6665039062,4164.6152343750,4160.8974609375,4166.1538085938,4166.7949218750,4258.9741210938,4173.2050781250,4179.7436523438,4148.4614257812,,,
0.0312500000,1,4186.5385742188,4172.0512695312,4173.8461914062,4157.4360351562,4164.7436523438,4159.3588867188,4160.8974609375,4161.6665039062,4162.5639648438,4166.5385742188,4259.4873046875,4180.7690429688,4185.8974609375,4158.9741210938,,,
0.0390625000,1,4185.1284179688,4175.8974609375,4176.2822265625,4159.4873046875,4165.7690429688,4159.6152343750,4158.7177734375,4163.9741210938,4161.4101562500,4165.1284179688,4257.4360351562,4174.6152343750,4180.2563476562,4154.7436523438,,,
0.0468750000,1,4177.5639648438,4174.4873046875,4172.1796875000,4158.9741210938,4164.2309570312,4161.9228515625,4162.4360351562,4165.1284179688,4164.1025390625,4163.4614257812,4252.6923828125,4168.7177734375,4169.6152343750,4149.2309570312,,,
0.0546875000,1,4176.5385742188,4169.3588867188,4169.2309570312,4156.5385742188,4162.3076171875,4160.3847656250,4166.5385742188,4165.0000000000,4162.9487304688,4163.8461914062,4250.8974609375,4168.5898437500,4172.5639648438,4150.5126953125,,,
0.0625000000,2,4182.0512695312,4170.0000000000,4172.4360351562,4155.1284179688,4164.1025390625,4161.4101562500,4166.0258789062,4167.3076171875,4161.1538085938,4167.4360351562,4253.5898437500,4173.8461914062,4180.2563476562,4154.1025390625,,,
0.0703125000,2,4185.2563476562,4172.5639648438,4170.0000000000,4152.5639648438,4163.4614257812,4163.7177734375,4159.6152343750,4163.9741210938,4163.2050781250,4167.9487304688,4247.8203125000,4180.5126953125,4178.0771484375,4157.8203125000,,,
