Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.0000000000,0,4146.6665039062,4127.5639648438,4118.8461914062,4123.7177734375,4160.8974609375,4164.8715820312,4156.7949218750,4160.7690429688,4167.1796875000,4163.7177734375,4111.5385742188,4112.4360351562,4138.7177734375,4065.5129394531,,,
0.0078125000,0,4142.8203125000,4128.8461914062,4114.4873046875,4116.0258789062,4162.3076171875,4164.8715820312,4159.3588867188,4162.5639648438,4161.7949218750,4169.1025390625,4100.8974609375,4108.4614257812,4131.2822265625,4061.2819824219,,,
0.0156250000,0,4140.0000000000,4123.0771484375,4116.1538085938,4118.5898437500,4160.3847656250,4163.8461914062,4163.5898437500,4161.2822265625,4161.4101562500,4169.8715820312,4100.1284179688,4106.0258789062,4129.4873046875,4058.4614257812,,,
0.0234375000,0,4143.9741210938,4119.1025390625,4118.2050781250,4125.3847656250,4162.0512695312,4163.2050781250,4163.9741210938,4161.2822265625,4164.8715820312,4167.8203125000,4110.5126953125,4110.0000000000,4140.0000000000,4062.5642089844,,,
0.0312500000,1,4145.3847656250,4129.1025390625,4118.5898437500,4126.4101562500,4164.6152343750,4163.4614257812,4163.0771484375,4163.7177734375,4163.8461914062,4166.1538085938,4107.0512695312,4109.7436523438,4140.6411132812,4060.7692871094,,,
0.0390625000,1,4143.9741210938,4137.0512695312,4119.7436523438,4124.1025390625,4162.9487304688,4162.3076171875,4161.5385742188,4161.4101562500,4162.3076171875,4166.2822265625,4102.1796875000,4105.7690429688,4132.0512695312,4055.5129394531,,,
0.0468750000,1,4151.1538085938,4135.3847656250,4126.4101562500,4128.3334960938,4164.2309570312,4162.1796875000,4164.4873046875,4164.1025390625,4165.3847656250,4167.9487304688,4115.3847656250,4111.5385742188,4142.5639648438,4063.9743652344,,,
0.0546875000,1,4159.6152343750,4139.7436523438,4129.4873046875,4133.9741210938,4162.9487304688,4162.3076171875,4163.8461914062,4166.1538085938,4165.6411132812,4166.5385742188,4122.4360351562,4123.8461914062,4157.9487304688,4074.8718261719,,,
0.0625000000,2,4163.4614257812,4155.7690429688,4131.4101562500,4139.8715820312,4158.9741210938,4162.1796875000,4162.6923828125,4162.9487304688,4161.1538085938,4164.4873046875,4117.5639648438,4133.3334960938,4153.0771484375,4080.6411132812,,,
0.0703125000,2,4164.6152343750,4159.4873046875,4135.6411132812,4143.2050781250,4161.5385742188,4164.8715820312,4164.4873046875,4163.7177734375,4159.8715820312,4167.9487304688,4120.0000000000,4136.1538085938,4142.9487304688,4085.2563476562,,,
