Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.0000000000,0,4228.7177734375,4240.0000000000,4232.4360351562,4211.6665039062,4163.7177734375,4165.3847656250,4162.8203125000,4165.5126953125,4164.7436523438,4166.5385742188,4285.7690429688,4305.7690429688,4246.2822265625,4245.2563476562,,,
0.0078125000,0,4235.0000000000,4243.3334960938,4237.9487304688,4218.7177734375,4163.8461914062,4161.5385742188,4165.7690429688,4164.2309570312,4164.4873046875,4168.4614257812,4286.7949218750,4310.2563476562,4246.1538085938,4252.9487304688,,,
0.0156250000,0,4228.4614257812,4235.5126953125,4227.3076171875,4207.1796875000,4162.0512695312,4160.1284179688,4162.3076171875,4159.6152343750,4166.2822265625,4167.9487304688,4274.6152343750,4301.6665039062,4233.9741210938,4241.2822265625,,,
0.0234375000,0,4226.7949218750,4228.7177734375,4223.9741210938,4202.0512695312,4165.7690429688,4163.7177734375,4163.4614257812,4161.6665039062,4166.0258789062,4168.8461914062,4269.8715820312,4295.2563476562,4229.8715820312,4235.5126953125,,,
0.0312500000,1,4221.7949218750,4220.2563476562,4220.5126953125,4203.0771484375,4165.0000000000,4162.3076171875,4158.2050781250,4163.4614257812,4163.2050781250,4169.4873046875,4266.6665039062,4287.1796875000,4227.0512695312,4232.1796875000,,,
0.0390625000,1,4210.6411132812,4209.2309570312,4210.7690429688,4195.7690429688,4161.4101562500,4162.6923828125,4159.2309570312,4163.7177734375,4166.0258789062,4168.0771484375,4250.5126953125,4271.9228515625,4208.2050781250,4221.1538085938,,,
0.0468750000,1,4201.9228515625,4199.2309570312,4201.4101562500,4185.5126953125,4161.9228515625,4164.8715820312,4167.1796875000,4165.6411132812,4167.4360351562,4168.3334960938,4231.2822265625,4251.5385742188,4189.1025390625,4208.8461914062,,,
0.0546875000,1,4189.7436523438,4185.3847656250,4189.3588867188,4179.7436523438,4160.8974609375,4163.0771484375,4164.8715820312,4166.0258789062,4162.9487304688,4170.1284179688,4212.5639648438,4230.8974609375,4176.4101562500,4190.5126953125,,,
0.0625000000,2,4178.3334960938,4176.5385742188,4181.7949218750,4176.4101562500,4162.0512695312,4164.1025390625,4165.0000000000,4168.7177734375,4163.4614257812,4165.7690429688,4195.1284179688,4220.3847656250,4163.0771484375,4177.9487304688,,,
0.0703125000,2,4177.3076171875,4183.9741210938,4182.5639648438,4174.2309570312,4161.5385742188,4161.2822265625,4160.7690429688,4164.3588867188,4166.7949218750,4161.2822265625,4197.8203125000,4223.2050781250,4163.9741210938,4181.6665039062,,,
0.0781250000,2,4181.6665039062,4190.1284179688,4184.7436523438,4180.7690429688,4162.4360351562,4158.7177734375,4157.5639648438,4160.1284179688,4165.2563476562,4165.0000000000,4209.6152343750,4223.2050781250,4173.4614257812,4187.9487304688,,,
0.0859375000,2,4185.6411132812,4189.7436523438,4185.0000000000,4186.4101562500,4166.0258789062,4163.7177734375,4163.3334960938,4163.9741210938,4165.2563476562,4166.5385742188,4209.4873046875,4222.9487304688,4174.7436523438,4191.0258789062,,,
