Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.0000000000,0,4182.4360351562,4203.8461914062,4212.9487304688,4358.9741210938,4166.1538085938,4160.2563476562,4162.5639648438,4164.7436523438,4160.8974609375,4165.6411132812,4101.7949218750,4187.4360351562,4153.0771484375,4152.6923828125,,,
0.0078125000,0,4189.8715820312,4204.1025390625,4212.9487304688,4359.2309570312,4167.4360351562,4160.1284179688,4162.4360351562,4166.2822265625,4162.1796875000,4164.7436523438,4102.0512695312,4191.5385742188,4158.8461914062,4163.9741210938,,,
0.0156250000,0,4187.6923828125,4197.4360351562,4210.2563476562,4350.7690429688,4168.5898437500,4162.5639648438,4160.7690429688,4162.4360351562,4164.4873046875,4165.3847656250,4092.3076171875,4180.6411132812,4146.4101562500,4164.2309570312,,,
0.0234375000,0,4183.8461914062,4201.1538085938,4214.4873046875,4346.6665039062,4169.4873046875,4163.8461914062,4163.9741210938,4163.7177734375,4163.4614257812,4163.9741210938,4091.1538085938,4181.6665039062,4141.5385742188,4167.8203125000,,,
0.0312500000,1,4187.1796875000,4211.5385742188,4215.5126953125,4356.2822265625,4167.4360351562,4159.8715820312,4164.6152343750,4164.1025390625,4163.0771484375,4161.9228515625,4100.6411132812,4190.2563476562,4153.2050781250,4173.9741210938,,,
0.0390625000,1,4188.7177734375,4210.5126953125,4215.6411132812,4361.1538085938,4167.6923828125,4161.0258789062,4164.2309570312,4163.8461914062,4165.3847656250,4163.9741210938,4101.9228515625,4186.6665039062,4154.4873046875,4172.0512695312,,,
0.0468750000,1,4183.2050781250,4204.2309570312,4216.4101562500,4350.1284179688,4169.1025390625,4164.7436523438,4162.6923828125,4165.5126953125,4164.4873046875,4166.2822265625,4095.7692871094,4181.4101562500,4144.2309570312,4166.9228515625,,,
0.0546875000,1,4177.0512695312,4202.4360351562,4211.9228515625,4342.4360351562,4166.4101562500,4160.7690429688,4157.9487304688,4163.3334960938,4164.7436523438,4165.6411132812,4088.0769042969,4177.5639648438,4135.8974609375,4159.3588867188,,,
0.0625000000,2,4167.0512695312,4193.8461914062,4206.2822265625,4337.0512695312,4167.8203125000,4161.5385742188,4160.1284179688,4162.9487304688,4167.0512695312,4164.6152343750,4077.0512695312,4160.3847656250,4125.5126953125,4144.1025390625,,,
0.0703125000,2,4153.8461914062,4178.9741210938,4198.0771484375,4321.0258789062,4167.4360351562,4162.5639648438,4161.4101562500,4163.8461914062,4165.6411132812,4163.9741210938,4069.7436523438,4145.0000000000,4113.8461914062,4131.9228515625,,,
