Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.0000000000,0,4199.3588867188,4171.2822265625,4217.4360351562,4137.6923828125,4162.4360351562,4163.4614257812,4161.4101562500,4164.4873046875,4164.1025390625,4164.1025390625,4210.6411132812,4258.0771484375,4202.3076171875,4196.1538085938,,,
0.0078125000,0,4201.1538085938,4174.7436523438,4211.1538085938,4130.3847656250,4161.6665039062,4162.9487304688,4163.0771484375,4163.3334960938,4164.8715820312,4163.5898437500,4206.7949218750,4254.2309570312,4197.5639648438,4191.5385742188,,,
0.0156250000,0,4194.4873046875,4171.7949218750,4207.5639648438,4125.2563476562,4164.1025390625,4163.5898437500,4163.4614257812,4164.3588867188,4165.2563476562,4165.0000000000,4205.8974609375,4252.1796875000,4197.9487304688,4184.6152343750,,,
0.0234375000,0,4195.7690429688,4176.6665039062,4211.0258789062,4133.7177734375,4164.2309570312,4163.4614257812,4160.8974609375,4164.4873046875,4163.0771484375,4165.5126953125,4211.4101562500,4254.3588867188,4202.6923828125,4189.7436523438,,,
0.0312500000,1,4202.9487304688,4182.9487304688,4210.6411132812,4141.2822265625,4162.9487304688,4161.0258789062,4158.5898437500,4162.1796875000,4160.8974609375,4165.0000000000,4217.1796875000,4259.3588867188,4207.9487304688,4195.7690429688,,,
0.0390625000,1,4200.0000000000,4175.8974609375,4209.7436523438,4137.8203125000,4167.3076171875,4162.4360351562,4162.5639648438,4164.1025390625,4164.7436523438,4164.2309570312,4215.1284179688,4254.2309570312,4204.4873046875,4186.6665039062,,,
0.0468750000,1,4190.6411132812,4166.6665039062,4205.8974609375,4131.7949218750,4163.0771484375,4163.7177734375,4159.6152343750,4163.3334960938,4167.1796875000,4163.2050781250,4210.1284179688,4242.3076171875,4195.6411132812,4176.1538085938,,,
0.0546875000,1,4189.3588867188,4168.8461914062,4206.1538085938,4133.4614257812,4160.6411132812,4163.4614257812,4159.4873046875,4162.3076171875,4162.9487304688,4163.5898437500,4207.8203125000,4239.6152343750,4198.3334960938,4178.8461914062,,,
0.0625000000,2,4193.4614257812,4171.2822265625,4203.9741210938,4133.9741210938,4165.0000000000,4162.1796875000,4160.7690429688,4162.8203125000,4160.2563476562,4163.4614257812,4207.0512695312,4242.4360351562,4203.5898437500,4184.4873046875,,,
0.0703125000,2,4196.2822265625,4168.7177734375,4202.6923828125,4133.9741210938,4163.7177734375,4161.2822265625,4157.9487304688,4160.3847656250,4162.8203125000,4161.6665039062,4207.3076171875,4243.7177734375,4199.8715820312,4183.3334960938,,,
0.0781250000,2,4199.8715820312,4170.6411132812,4212.1796875000,4138.8461914062,4163.5898437500,4164.4873046875,4160.5126953125,4161.7949218750,4163.9741210938,4163.2050781250,4208.4614257812,4242.3076171875,4197.8203125000,4182.0512695312,,,
0.0859375000,2,4201.7949218750,4177.8203125000,4211.9228515625,4143.2050781250,4164.6152343750,4163.2050781250,4159.6152343750,4164.2309570312,4162.6923828125,4166.7949218750,4209.1025390625,4243.7177734375,4205.3847656250,4187.5639648438,,,
0.0937500000,3,4201.9228515625,4182.1796875000,4208.8461914062,4144.7436523438,4163.2050781250,4161.9228515625,4162.6923828125,4163.8461914062,4163.9741210938,4165.5126953125,4214.2309570312,4249.2309570312,4209.2309570312,4190.3847656250,,,
0.1015625000,3,4200.1284179688,4180.2563476562,4211.2822265625,4147.5639648438,4159.4873046875,4163.9741210938,4166.6665039062,4163.2050781250,4165.1284179688,4163.5898437500,4218.8461914062,4248.7177734375,4206.9228515625,4184.7436523438,,,
