Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.0000000000,0,4163.0771484375,4151.9228515625,4151.1538085938,4159.6152343750,4164.7436523438,4162.4360351562,4162.3076171875,4165.1284179688,4165.1284179688,4168.5898437500,5257.4360351562,4154.1025390625,4152.9487304688,4134.7436523438,,,
0.0078125000,0,4169.8715820312,4157.3076171875,4154.7436523438,4160.7690429688,4165.3847656250,4161.2822265625,4164.6152343750,4163.4614257812,4167.1796875000,4167.4360351562,5272.8203125000,4162.6923828125,4158.9741210938,4144.6152343750,,,
0.0156250000,0,4173.2050781250,4162.3076171875,4161.4101562500,4159.8715820312,4163.0771484375,4162.3076171875,4163.9741210938,4164.4873046875,4166.9228515625,4164.8715820312,5284.8715820312,4170.7690429688,4167.1796875000,4148.4614257812,,,
0.0234375000,0,4166.7949218750,4157.6923828125,4160.2563476562,4158.4614257812,4164.3588867188,4163.2050781250,4163.5898437500,4168.7177734375,4166.2822265625,4166.2822265625,5294.7436523438,4172.5639648438,4164.6152343750,4141.7949218750,,,
0.0312500000,1,4163.7177734375,4158.9741210938,4153.0771484375,4157.5639648438,4164.1025390625,4159.1025390625,4160.0000000000,4165.8974609375,4166.0258789062,4171.2822265625,5299.8715820312,4168.2050781250,4159.1025390625,4138.0771484375,,,
0.0390625000,1,4174.4873046875,4172.4360351562,4158.9741210938,4162.9487304688,4162.5639648438,4160.1284179688,4161.0258789062,4165.7690429688,4167.8203125000,4171.6665039062,5307.8203125000,4170.5126953125,4162.5639648438,4147.1796875000,,,
0.0468750000,1,4178.8461914062,4174.8715820312,4162.4360351562,4162.9487304688,4162.3076171875,4161.5385742188,4161.7949218750,4165.5126953125,4168.7177734375,4166.7949218750,5318.8461914062,4175.1284179688,4167.3076171875,4153.7177734375,,,
0.0546875000,1,4171.7949218750,4165.3847656250,4153.2050781250,4158.9741210938,4161.7949218750,4158.5898437500,4159.8715820312,4160.3847656250,4164.8715820312,4167.6923828125,5322.3076171875,4171.1538085938,4164.6152343750,4148.4614257812,,,
0.0625000000,2,4160.5126953125,4160.0000000000,4147.3076171875,4159.8715820312,4164.2309570312,4161.4101562500,4163.4614257812,4162.1796875000,4165.0000000000,4173.0771484375,5317.3076171875,4160.7690429688,4152.4360351562,4138.5898437500,,,
0.0703125000,2,4148.4614257812,4152.8203125000,4140.5126953125,4155.2563476562,4164.3588867188,4164.1025390625,4162.8203125000,4164.3588867188,4166.9228515625,4170.0000000000,5314.2309570312,4147.8203125000,4140.6411132812,4128.8461914062,,,
