Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.0000000000,0,4165.0000000000,4161.0258789062,4165.7690429688,4166.9228515625,4165.2563476562,4162.9487304688,4164.4873046875,4164.3588867188,4166.4101562500,4171.4101562500,3847.0512695312,4158.0771484375,4165.2563476562,4160.8974609375,,,
0.0078125000,0,4165.8974609375,4158.0771484375,4162.4360351562,4165.6411132812,4164.3588867188,4164.4873046875,4159.6152343750,4163.4614257812,4163.5898437500,4168.9741210938,3839.4870605469,4156.2822265625,4161.1538085938,4163.8461914062,,,
0.0156250000,0,4167.8203125000,4156.1538085938,4168.4614257812,4162.9487304688,4165.1284179688,4166.0258789062,4160.2563476562,4162.4360351562,4164.2309570312,4167.0512695312,3831.4101562500,4155.8974609375,4155.7690429688,4162.6923828125,,,
0.0234375000,0,4167.8203125000,4156.1538085938,4168.4614257812,4162.9487304688,4165.1284179688,4166.0258789062,4160.2563476562,4162.4360351562,4164.2309570312,4167.0512695312,3831.4101562500,4155.8974609375,4155.7690429688,4162.6923828125,,,
0.0312500000,1,4172.8203125000,4160.2563476562,4168.5898437500,4162.9487304688,4164.3588867188,4164.1025390625,4162.5639648438,4164.3588867188,4167.0512695312,4171.6665039062,3829.4870605469,4155.6411132812,4148.3334960938,4160.3847656250,,,
0.0390625000,1,4170.3847656250,4159.7436523438,4159.4873046875,4162.9487304688,4163.0771484375,4163.9741210938,4162.8203125000,4163.7177734375,4166.9228515625,4171.2822265625,3827.9487304688,4151.1538085938,4141.0258789062,4160.5126953125,,,
0.0468750000,1,4166.4101562500,4156.5385742188,4162.9487304688,4161.9228515625,4163.9741210938,4166.5385742188,4165.1284179688,4162.5639648438,4165.3847656250,4166.1538085938,3821.6667480469,4151.5385742188,4133.2050781250,4164.8715820312,,,
0.0546875000,1,4174.3588867188,4164.1025390625,4170.7690429688,4162.6923828125,4163.7177734375,4165.0000000000,4163.2050781250,4161.7949218750,4163.9741210938,4165.3847656250,3821.1538085938,4156.0258789062,4124.7436523438,4165.0000000000,,,
0.0625000000,2,4179.3588867188,4168.2050781250,4169.1025390625,4166.4101562500,4163.4614257812,4162.8203125000,4161.0258789062,4162.0512695312,4164.8715820312,4166.9228515625,3829.2307128906,4154.1025390625,4116.2822265625,4159.1025390625,,,
0.0703125000,2,4176.2822265625,4164.2309570312,4166.6665039062,4167.8203125000,4162.3076171875,4162.1796875000,4160.5126953125,4160.6411132812,4166.2822265625,4170.0000000000,3834.3588867188,4150.8974609375,4104.8715820312,4157.6923828125,,,
0.0781250000,2,4178.8461914062,4163.8461914062,4169.3588867188,4168.4614257812,4162.1796875000,4162.0512695312,4164.8715820312,4164.1025390625,4168.2050781250,4174.6152343750,3833.9743652344,4150.2563476562,4090.1281738281,4162.9487304688,,,
0.0859375000,2,4176.6665039062,4160.6411132812,4167.8203125000,4166.9228515625,4162.4360351562,4163.8461914062,4168.9741210938,4166.7949218750,4170.2563476562,4172.5639648438,3836.1538085938,4147.4360351562,4078.8461914062,4160.3847656250,,,
0.0937500000,3,4171.0258789062,4157.1796875000,4166.9228515625,4165.6411132812,4162.5639648438,4162.4360351562,4163.3334960938,4160.5126953125,4169.2309570312,4168.3334960938,3851.0256347656,4153.4614257812,4083.3332519531,4157.1796875000,,,
0.1015625000,3,4182.8203125000,4167.5639648438,4182.9487304688,4175.3847656250,4164.4873046875,4161.2822265625,4160.8974609375,4161.4101562500,4167.1796875000,4170.3847656250,3884.2307128906,4174.2309570312,4107.0512695312,4170.0000000000,,,
0.1093750000,3,4202.3076171875,4185.0000000000,4200.7690429688,4187.6923828125,4164.3588867188,4160.5126953125,4161.0258789062,4165.8974609375,4167.4360351562,4172.6923828125,3919.2307128906,4199.7436523438,4143.7177734375,4185.5126953125,,,
0.1171875000,3,4213.8461914062,4199.4873046875,4213.4614257812,4195.6411132812,4162.9487304688,4160.7690429688,4160.3847656250,4165.2563476562,4167.5639648438,4173.2050781250,3944.6154785156,4222.4360351562,4183.9741210938,4196.0258789062,,,
0.1250000000,4,4224.8715820312,4207.9487304688,4228.9741210938,4202.0512695312,4163.2050781250,4165.6411132812,4164.3588867188,4166.5385742188,4166.0258789062,4168.2050781250,3974.6154785156,4241.7949218750,4213.4614257812,4210.7690429688,,,
0.1328125000,4,4241.0258789062,4213.2050781250,4239.1025390625,4205.7690429688,4163.5898437500,4163.7177734375,4162.8203125000,4163.4614257812,4166.0258789062,4163.7177734375,4010.1281738281,4264.3588867188,4234.8715820312,4223.9741210938,,,
0.1406250000,4,4249.4873046875,4219.6152343750,4245.6411132812,4208.7177734375,4163.9741210938,4161.5385742188,4160.2563476562,4161.2822265625,4168.0771484375,4166.1538085938,4030.6411132812,4281.4101562500,4249.7436523438,4229.7436523438,,,
0.1484375000,4,4249.7436523438,4220.3847656250,4249.4873046875,4207.6923828125,4163.9741210938,4165.1284179688,4161.2822265625,4164.3588867188,4168.5898437500,4166.9228515625,4039.6154785156,4285.1284179688,4257.0512695312,4231.5385742188,,,
0.1562500000,5,4247.1796875000,4215.8974609375,4251.5385742188,4204.8715820312,4163.2050781250,4164.8715820312,4161.4101562500,4163.7177734375,4166.7949218750,4166.0258789062,4054.3588867188,4282.3076171875,4260.6411132812,4229.6152343750,,,
